true_eta,scheme,prior_family,prior_strength,eta,posterior_weight
0.0,aggregate_weekly,half_normal,weak,1.5,0.00013386343394242435
0.0,aggregate_weekly,half_normal,weak,1.75,5.227118370049014e-5
0.0,aggregate_weekly,half_normal,weak,2.0,0.03983767746769653
0.0,aggregate_weekly,half_normal,weak,2.25,0.05853449069254813
0.0,aggregate_weekly,half_normal,weak,2.5,0.04863719820854969
0.0,aggregate_weekly,half_normal,weak,2.75,0.04031557276186131
0.0,aggregate_weekly,half_normal,weak,3.0,0.06666687508150212
0.0,aggregate_weekly,half_normal,weak,3.25,0.00920212855207494
0.0,aggregate_weekly,half_normal,weak,3.5,0.0023360453613564423
0.0,aggregate_weekly,half_normal,moderate,0.0,0.18656818544948908
0.0,aggregate_weekly,half_normal,moderate,0.25,0.11928330992632036
0.0,aggregate_weekly,half_normal,moderate,0.5,0.14489097836083126
0.0,aggregate_weekly,half_normal,moderate,0.75,0.13786742654827602
0.0,aggregate_weekly,half_normal,moderate,1.0,0.09890827083729793
0.0,aggregate_weekly,half_normal,moderate,1.25,0.12005554749640185
0.0,aggregate_weekly,half_normal,moderate,1.5,0.00011381959628353584
0.0,aggregate_weekly,half_normal,moderate,1.75,6.991716846412751e-5
0.0,aggregate_weekly,half_normal,moderate,2.0,0.02890773804177992
0.0,aggregate_weekly,half_normal,moderate,2.25,0.035924327148203254
0.0,aggregate_weekly,half_normal,moderate,2.5,0.029062675612965404
0.0,aggregate_weekly,half_normal,moderate,2.75,0.026592404655592594
0.0,aggregate_weekly,half_normal,moderate,3.0,0.06666679350493991
0.0,aggregate_weekly,half_normal,moderate,3.25,0.00439066576999005
0.0,aggregate_weekly,half_normal,moderate,3.5,0.0006979398831647485
0.0,aggregate_weekly,half_normal,strong,0.0,0.26683146422559567
0.0,aggregate_weekly,half_normal,strong,0.25,0.16288918016438653
0.0,aggregate_weekly,half_normal,strong,0.5,0.17614502514308938
0.0,aggregate_weekly,half_normal,strong,0.75,0.1388264904143891
0.0,aggregate_weekly,half_normal,strong,1.0,0.11722471258908751
0.0,aggregate_weekly,half_normal,strong,1.25,0.061611532774645296
