eta,alpha,loglik,logprior,logpost,posterior_weight
1.52,-4.850765620092403,-27729.71019666161,-0.0,-27729.71019666161,6.035611161556326e-286
1.53,-4.8568279299315975,-27714.39935823024,-0.0,-27714.39935823024,2.6923647572552935e-279
1.54,-4.862926144178772,-27699.307992353784,-0.0,-27699.307992353784,9.643414217379809e-273
1.55,-4.869060075527756,-27684.434885485785,-0.0,-27684.434885485785,2.7767645941402835e-266
1.56,-4.875229535187913,-27669.77881551332,-0.0,-27669.77881551332,6.435604972098035e-260
1.57,-4.881434332931036,-27655.338552054793,-0.0,-27655.338552054793,1.2020322390862297e-253
1.58,-4.88767427713654,-27641.11285675705,-0.0,-27641.11285675705,1.811578195779596e-247
1.59,-4.893949174832386,-27627.10048359139,-0.0,-27627.10048359139,2.2057354802845777e-241
1.6,-4.900258831744537,-27613.300179149166,-0.0,-27613.300179149166,2.172448535242291e-235
1.61,-4.906603052337033,-27599.710682935798,-0.0,-27599.710682935798,1.732976662470924e-229
1.62,-4.912981639858884,-27586.330727663986,-0.0,-27586.330727663986,1.1210718739316955e-223
1.63,-4.91939439638756,-27573.15903954547,-0.0,-27573.15903954547,5.88877449993571e-218
1.64,-4.925841122871617,-27560.194338581357,-0.0,-27560.194338581357,2.5149132694171974e-212
1.65,-4.932321619180158,-27547.435338851257,-0.0,-27547.435338851257,8.743517623366142e-207
1.66,-4.938835684138638,-27534.88074880013,-0.0,-27534.88074880013,2.477852049783245e-201
1.67,-4.945383115579176,-27522.529271524134,-0.0,-27522.529271524134,5.731308630597685e-196
1.68,-4.95196371038233,-27510.379605054208,-0.0,-27510.379605054208,1.0833951839454538e-190
1.69,-4.958577264518027,-27498.4304426377,-0.0,-27498.4304426377,1.6758772348077222e-185
1.7,-4.965223573092459,-27486.680473018245,-0.0,-27486.680473018245,2.1241695052753685e-180
1.71,-4.97190243038645,-27475.12838071313,-0.0,-27475.12838071313,2.2090172758750162e-175
1.72,-4.978613629904061,-27463.772846288903,-0.0,-27463.772846288903,1.8873178691896884e-170
1.73,-4.985356964408396,-27452.612546634078,-0.0,-27452.612546634078,1.3264827550806237e-165
1.74,-4.992132225969357,-27441.646155230042,-0.0,-27441.646155230042,7.679711076883734e-161
1.75,-4.998939206002007,-27430.87234241903,-0.0,-27430.87234241903,3.6673497869095633e-156
1.76,-5.005777695309206,-27420.289775669713,-0.0,-27420.289775669713,1.4464475092169586e-151
1.77,-5.012647484121686,-27409.897119840098,-0.0,-27409.897119840098,4.718193599067863e-147
1.78,-5.019548362140682,-27399.69303743779,-0.0,-27399.69303743779,1.2745369696829552e-142
1.79,-5.02648011857886,-27389.676188877453,-0.0,-27389.676188877453,2.855055093104846e-138
1.8,-5.033442542197832,-27379.84523273515,-0.0,-27379.84523273515,5.310611083687789e-134
1.81,-5.04043542134994,-27370.198826000145,-0.0,-27370.198826000145,8.21345179787879e-130
1.82,-5.047458544016621,-27360.735624323417,-0.0,-27360.735624323417,1.0576500203525498e-125
1.83,-5.054511697848483,-27351.454282263316,-0.0,-27351.454282263316,1.1354751222124113e-121
1.84,-5.0615946702028225,-27342.353453527932,-0.0,-27342.353453527932,1.0176942575533163e-117
1.85,-5.068707248184552,-27333.431791214596,-0.0,-27333.431791214596,7.625108645488962e-114
1.86,-5.075849218677746,-27324.687948045597,-0.0,-27324.687948045597,4.7824327856443275e-110
1.87,-5.083020368392539,-27316.1205766015,-0.0,-27316.1205766015,2.5142648134542196e-106
1.88,-5.090220483891557,-27307.72832955017,-0.0,-27307.72832955017,1.1094752097071367e-102
1.89,-5.097449351634253,-27299.509859873287,-0.0,-27299.509859873287,4.1148464444373305e-99
1.9,-5.1047067580110195,-27291.46382108905,-0.0,-27291.46382108905,1.2844105917264038e-95
1.91,-5.111992489374728,-27283.58886747134,-0.0,-27283.58886747134,3.378724489724835e-92
1.92,-5.119306332082516,-27275.88365426589,-0.0,-27275.88365426589,7.500398817803548e-89
