period,t_start,t_end,true_incidence,reported_incidence,outbreak_id
15,98.0,105.0,0,0.0,15
16,105.0,112.0,0,0.0,15
17,112.0,119.0,0,0.0,15
18,119.0,126.0,0,0.0,15
19,126.0,133.0,0,0.0,15
20,133.0,140.0,0,0.0,15
21,140.0,147.0,0,0.0,15
1,0.0,7.0,40,40.0,16
2,7.0,14.0,200,200.0,16
3,14.0,21.0,382,382.0,16
4,21.0,28.0,248,248.0,16
5,28.0,35.0,69,69.0,16
6,35.0,42.0,21,21.0,16
7,42.0,49.0,3,3.0,16
8,49.0,56.0,1,1.0,16
9,56.0,63.0,0,0.0,16
10,63.0,70.0,0,0.0,16
11,70.0,77.0,0,0.0,16
12,77.0,84.0,0,0.0,16
13,84.0,91.0,0,0.0,16
14,91.0,98.0,0,0.0,16
15,98.0,105.0,0,0.0,16
16,105.0,112.0,0,0.0,16
17,112.0,119.0,0,0.0,16
18,119.0,126.0,0,0.0,16
19,126.0,133.0,0,0.0,16
20,133.0,140.0,0,0.0,16
21,140.0,147.0,0,0.0,16
1,0.0,7.0,20,20.0,17
2,7.0,14.0,142,142.0,17
3,14.0,21.0,302,302.0,17
4,21.0,28.0,355,355.0,17
5,28.0,35.0,103,103.0,17
6,35.0,42.0,26,26.0,17
7,42.0,49.0,8,8.0,17
8,49.0,56.0,1,1.0,17
9,56.0,63.0,0,0.0,17
10,63.0,70.0,1,1.0,17
11,70.0,77.0,0,0.0,17
12,77.0,84.0,0,0.0,17
13,84.0,91.0,0,0.0,17
14,91.0,98.0,0,0.0,17
15,98.0,105.0,0,0.0,17
16,105.0,112.0,0,0.0,17
17,112.0,119.0,0,0.0,17
18,119.0,126.0,0,0.0,17
19,126.0,133.0,0,0.0,17
20,133.0,140.0,0,0.0,17
21,140.0,147.0,0,0.0,17
1,0.0,7.0,8,8.0,18
2,7.0,14.0,44,44.0,18
3,14.0,21.0,298,298.0,18
4,21.0,28.0,411,411.0,18
5,28.0,35.0,136,136.0,18
6,35.0,42.0,36,36.0,18
7,42.0,49.0,14,14.0,18
8,49.0,56.0,5,5.0,18
9,56.0,63.0,1,1.0,18
10,63.0,70.0,0,0.0,18
11,70.0,77.0,0,0.0,18
12,77.0,84.0,0,0.0,18
13,84.0,91.0,0,0.0,18
14,91.0,98.0,0,0.0,18
15,98.0,105.0,0,0.0,18
16,105.0,112.0,0,0.0,18
17,112.0,119.0,0,0.0,18
18,119.0,126.0,0,0.0,18
19,126.0,133.0,0,0.0,18
20,133.0,140.0,0,0.0,18
21,140.0,147.0,0,0.0,18
1,0.0,7.0,4,4.0,19
2,7.0,14.0,73,73.0,19
3,14.0,21.0,333,333.0,19
4,21.0,28.0,382,382.0,19
5,28.0,35.0,128,128.0,19
6,35.0,42.0,36,36.0,19
7,42.0,49.0,7,7.0,19
8,49.0,56.0,6,6.0,19
9,56.0,63.0,1,1.0,19
10,63.0,70.0,0,0.0,19
11,70.0,77.0,0,0.0,19
12,77.0,84.0,0,0.0,19
13,84.0,91.0,1,1.0,19
14,91.0,98.0,0,0.0,19
15,98.0,105.0,0,0.0,19
16,105.0,112.0,0,0.0,19
17,112.0,119.0,0,0.0,19
18,119.0,126.0,0,0.0,19
19,126.0,133.0,0,0.0,19
20,133.0,140.0,0,0.0,19
21,140.0,147.0,0,0.0,19
1,0.0,7.0,88,88.0,20
2,7.0,14.0,291,291.0,20
3,14.0,21.0,360,360.0,20
4,21.0,28.0,166,166.0,20
5,28.0,35.0,43,43.0,20
6,35.0,42.0,10,10.0,20
7,42.0,49.0,1,1.0,20
8,49.0,56.0,2,2.0,20
9,56.0,63.0,1,1.0,20
10,63.0,70.0,0,0.0,20
11,70.0,77.0,0,0.0,20
12,77.0,84.0,0,0.0,20
13,84.0,91.0,0,0.0,20
14,91.0,98.0,0,0.0,20
15,98.0,105.0,0,0.0,20
16,105.0,112.0,0,0.0,20
17,112.0,119.0,0,0.0,20
18,119.0,126.0,0,0.0,20
19,126.0,133.0,0,0.0,20
20,133.0,140.0,0,0.0,20
21,140.0,147.0,0,0.0,20
