period,t_start,t_end,true_incidence,reported_incidence,eta,rep
17,112.0,119.0,0,0.0,3.0,13
18,119.0,126.0,0,0.0,3.0,13
19,126.0,133.0,0,0.0,3.0,13
20,133.0,140.0,0,0.0,3.0,13
21,140.0,147.0,0,0.0,3.0,13
1,0.0,7.0,20,20.0,3.0,14
2,7.0,14.0,135,135.0,3.0,14
3,14.0,21.0,381,381.0,3.0,14
4,21.0,28.0,298,298.0,3.0,14
5,28.0,35.0,97,97.0,3.0,14
6,35.0,42.0,26,26.0,3.0,14
7,42.0,49.0,11,11.0,3.0,14
8,49.0,56.0,3,3.0,3.0,14
9,56.0,63.0,0,0.0,3.0,14
10,63.0,70.0,1,1.0,3.0,14
11,70.0,77.0,0,0.0,3.0,14
12,77.0,84.0,0,0.0,3.0,14
13,84.0,91.0,0,0.0,3.0,14
14,91.0,98.0,0,0.0,3.0,14
15,98.0,105.0,0,0.0,3.0,14
16,105.0,112.0,0,0.0,3.0,14
17,112.0,119.0,0,0.0,3.0,14
18,119.0,126.0,0,0.0,3.0,14
19,126.0,133.0,0,0.0,3.0,14
20,133.0,140.0,0,0.0,3.0,14
21,140.0,147.0,0,0.0,3.0,14
1,0.0,7.0,59,59.0,3.0,15
2,7.0,14.0,214,214.0,3.0,15
3,14.0,21.0,369,369.0,3.0,15
4,21.0,28.0,222,222.0,3.0,15
5,28.0,35.0,58,58.0,3.0,15
6,35.0,42.0,23,23.0,3.0,15
7,42.0,49.0,5,5.0,3.0,15
8,49.0,56.0,1,1.0,3.0,15
9,56.0,63.0,2,2.0,3.0,15
10,63.0,70.0,1,1.0,3.0,15
11,70.0,77.0,0,0.0,3.0,15
12,77.0,84.0,0,0.0,3.0,15
13,84.0,91.0,0,0.0,3.0,15
14,91.0,98.0,0,0.0,3.0,15
15,98.0,105.0,0,0.0,3.0,15
16,105.0,112.0,0,0.0,3.0,15
17,112.0,119.0,0,0.0,3.0,15
18,119.0,126.0,0,0.0,3.0,15
19,126.0,133.0,0,0.0,3.0,15
20,133.0,140.0,0,0.0,3.0,15
21,140.0,147.0,0,0.0,3.0,15
1,0.0,7.0,12,12.0,3.0,16
2,7.0,14.0,81,81.0,3.0,16
3,14.0,21.0,198,198.0,3.0,16
4,21.0,28.0,311,311.0,3.0,16
5,28.0,35.0,286,286.0,3.0,16
6,35.0,42.0,63,63.0,3.0,16
7,42.0,49.0,13,13.0,3.0,16
8,49.0,56.0,7,7.0,3.0,16
9,56.0,63.0,0,0.0,3.0,16
10,63.0,70.0,1,1.0,3.0,16
11,70.0,77.0,0,0.0,3.0,16
12,77.0,84.0,0,0.0,3.0,16
13,84.0,91.0,0,0.0,3.0,16
14,91.0,98.0,0,0.0,3.0,16
15,98.0,105.0,0,0.0,3.0,16
16,105.0,112.0,0,0.0,3.0,16
17,112.0,119.0,0,0.0,3.0,16
18,119.0,126.0,0,0.0,3.0,16
19,126.0,133.0,0,0.0,3.0,16
20,133.0,140.0,0,0.0,3.0,16
21,140.0,147.0,0,0.0,3.0,16
1,0.0,7.0,27,27.0,3.0,17
2,7.0,14.0,124,124.0,3.0,17
3,14.0,21.0,343,343.0,3.0,17
4,21.0,28.0,301,301.0,3.0,17
5,28.0,35.0,130,130.0,3.0,17
6,35.0,42.0,28,28.0,3.0,17
7,42.0,49.0,7,7.0,3.0,17
8,49.0,56.0,5,5.0,3.0,17
9,56.0,63.0,0,0.0,3.0,17
10,63.0,70.0,0,0.0,3.0,17
11,70.0,77.0,0,0.0,3.0,17
12,77.0,84.0,0,0.0,3.0,17
13,84.0,91.0,0,0.0,3.0,17
14,91.0,98.0,0,0.0,3.0,17
15,98.0,105.0,0,0.0,3.0,17
16,105.0,112.0,0,0.0,3.0,17
17,112.0,119.0,0,0.0,3.0,17
18,119.0,126.0,0,0.0,3.0,17
19,126.0,133.0,0,0.0,3.0,17
20,133.0,140.0,0,0.0,3.0,17
21,140.0,147.0,0,0.0,3.0,17
1,0.0,7.0,31,31.0,3.0,18
2,7.0,14.0,97,97.0,3.0,18
3,14.0,21.0,234,234.0,3.0,18
4,21.0,28.0,335,335.0,3.0,18
5,28.0,35.0,203,203.0,3.0,18
6,35.0,42.0,41,41.0,3.0,18
7,42.0,49.0,19,19.0,3.0,18
8,49.0,56.0,7,7.0,3.0,18
9,56.0,63.0,3,3.0,3.0,18
